predateur,proie,mange,selectivity,nom,origine,stade_pred,stade_proie,titre,num_vol,numero_article,DOI,annee,nom,journal
Salvelinus alpinus,Daphnia,-1,3,,,,,Zooplankton and its relation to available food in Lake Myvatn,32,,,1979,Oikos,Adelsteinsson H.
Polyarthra,Cryptophyceae,-1,3,,,,,Zooplankton and its relation to available food in Lake Myvatn,32,,,1979,Oikos,Adelsteinsson H.
Polyarthra,Chrysophyceae,-1,3,,,,,Zooplankton and its relation to available food in Lake Myvatn,32,,,1979,Oikos,Adelsteinsson H.
Cyclopoida,Chironomidae,-1,-1,,,,Larve,Zooplankton and its relation to available food in Lake Myvatn,32,,,1979,Oikos,Adelsteinsson H.
Cyclopoida,Cladocera,-1,-1,,,,,Zooplankton and its relation to available food in Lake Myvatn,32,,,1979,Oikos,Adelsteinsson H.
Cyclopoida,Rotifera,-1,-1,,,,,Zooplankton and its relation to available food in Lake Myvatn,32,,,1979,Oikos,Adelsteinsson H.
Cyclops,Rotifera,-1,3,,,,,Zooplankton and its relation to available food in Lake Myvatn,32,,,1979,Oikos,Adelsteinsson H.
Cyclops,Daphnia longispina,-1,3,,,,,Zooplankton and its relation to available food in Lake Myvatn,32,,,1979,Oikos,Adelsteinsson H.
Cyclops,Rotifera,-1,1,,,,,Zooplankton and its relation to available food in Lake Myvatn,32,,,1979,Oikos,Adelsteinsson H.
Salvelinus alpinus,Chironomidae,-1,3,,,,,Zooplankton and its relation to available food in Lake Myvatn,32,,,1979,Oikos,Adelsteinsson H.
Salvelinus alpinus,Crustacea,-1,3,,,,,Zooplankton and its relation to available food in Lake Myvatn,32,,,1979,Oikos,Adelsteinsson H.
Salvelinus alpinus,Gasterosteus aculeatus,-1,1,,,,,Zooplankton and its relation to available food in Lake Myvatn,32,,,1979,Oikos,Adelsteinsson H.
Asplanchna,Rotifera,-1,-1,,,,,Zooplankton and its relation to available food in Lake Myvatn,32,,,1979,Oikos,Adelsteinsson H.
Perca fluviatilis,Bosmina,-1,3,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Cyclops,-1,3,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Diaptomus,-1,2,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Daphnia,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Bythotrephes,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Chironomidae,-1,1,,,,Larve,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Chironomidae,-1,1,,,,Pupe,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Gammarus,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Bosmina,-1,1,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
Perca fluviatilis,Cyclops,-1,3,,,,,The food and migration of the perch (Perca fluviatilis) in Windermere,4,,,1935,Journal of Animal Ecology,Allen K. R.
