"","species","stage","zooplankton","zoobenthos","detritus","fish","macrophyte","biofilm","phytoplankton"
"1","Abramis brama","recruits/juv.",1,1,1,0,0,0,0
"2","Abramis brama","juv./adults",0,1,1,0,0,0,0
"3","Abramis brama","adults",0,1,1,0,0,0,0
"4","Acipenser ruthenus","recruits/juv.",1,1,0,0,0,0,0
"5","Acipenser ruthenus","larvae",0,1,0,0,0,0,0
"6","Acipenser ruthenus","juv./adults",1,1,0,0,0,0,0
"7","Acipenser ruthenus","adults",0,1,0,0,0,0,0
"8","Alburnus alburnus","juv./adults",1,1,0,0,0,0,0
"9","Ameiurus melas","juv./adults",0,1,0,1,0,0,0
"10","Anguilla anguilla","juv./adults",0,1,1,1,0,0,0
"11","Barbatula barbatula","adults",0,1,0,0,0,0,0
"12","Blicca bjoerkna","juv./adults",0,1,0,0,0,0,0
"13","Blicca bjoerkna","adults",0,1,0,0,0,0,0
"14","Carassius auratus","adults",0,0,1,0,1,0,0
"15","Carassius gibelio","adults",1,1,1,0,0,0,0
"16","Chelon auratus","juv./adults",1,1,1,0,0,1,0
"17","Chelon ramada","juv./adults",0,0,1,0,0,0,0
"18","Coregonus lavaretus","recruits/juv.",1,1,0,0,0,0,1
"19","Coregonus lavaretus","juv./adults",1,1,0,0,0,0,0
"20","Cottus gobio","juv./adults",0,1,0,0,0,0,0
"21","Cyprinus carpio","juv./adults",1,1,1,0,1,1,1
"22","Cyprinus carpio","adults",0,1,1,0,0,0,0
"23","Esox lucius","recruits/juv.",1,0,0,1,0,0,0
"24","Esox lucius","juv./adults",0,0,0,1,0,0,0
"25","Esox lucius","adults",0,1,0,1,0,0,0
"26","Gambusia affinis","recruits/juv.",1,1,0,0,0,0,0
"27","Gambusia affinis","juv./adults",1,1,1,0,0,0,0
"28","Gambusia affinis","adults",1,1,0,0,0,0,0
"29","Gasterosteus aculeatus","recruits/juv.",1,1,0,0,0,0,0
"30","Gasterosteus aculeatus","larvae",1,1,0,0,0,0,0
"31","Gasterosteus aculeatus","juv./adults",1,1,0,0,0,0,0
"32","Gasterosteus aculeatus","adults",1,1,0,0,0,0,0
"33","Gymnocephalus cernua","larvae",1,1,0,0,0,0,0
"34","Gymnocephalus cernua","juv./adults",1,1,0,0,0,0,0
"35","Hypophthalmichthys molitrix","juv./adults",1,0,1,0,0,0,1
"36","Lepomis gibbosus","recruits/juv.",0,1,0,0,0,0,0
"37","Lepomis gibbosus","juv./adults",1,1,1,0,0,1,0
"38","Leucaspius delineatus","juv./adults",1,1,0,0,0,0,0
"39","Leuciscus leuciscus","recruits/juv.",1,1,1,0,0,1,0
"40","Leuciscus leuciscus","larvae",1,0,0,0,0,0,0
"41","Leuciscus leuciscus","juv./adults",0,1,1,0,0,1,0
"42","Lota lota","larvae",0,1,0,0,0,0,0
"43","Lota lota","juv./adults",1,1,0,1,0,0,0
"44","Micropterus salmoides","recruits/juv.",1,1,0,1,0,0,0
"45","Micropterus salmoides","larvae",1,0,0,0,0,0,0
"46","Micropterus salmoides","juv./adults",1,1,1,1,0,1,0
"47","Neogobius melanostomus","juv./adults",0,1,0,1,0,0,0
"48","Oncorhynchus mykiss","recruits/juv.",1,1,0,1,0,0,0
"49","Oncorhynchus mykiss","juv./adults",1,1,0,1,0,0,1
"50","Oncorhynchus mykiss","adults",0,1,0,1,0,0,0
"51","Perca fluviatilis","larvae",1,1,0,0,0,0,0
"52","Perca fluviatilis","juv./adults",1,1,0,0,0,0,0
"53","Perca fluviatilis","adults",0,0,0,1,0,0,0
"54","Phoxinus phoxinus","juv./adults",0,1,0,0,0,0,0
"55","Pseudorasbora parva","juv./adults",1,1,0,0,0,0,0
"56","Pungitius pungitius","larvae",1,1,0,0,0,0,0
"57","Pungitius pungitius","juv./adults",1,1,0,0,0,0,0
"58","Rutilus rutilus","recruits/juv.",1,1,1,0,0,1,1
"59","Rutilus rutilus","larvae",1,1,0,0,0,0,0
"60","Rutilus rutilus","juv./adults",0,1,1,0,0,1,0
"61","Rutilus rutilus","adults",0,1,0,0,0,1,0
"62","Salmo trutta","recruits/juv.",0,1,0,0,0,0,0
"63","Salmo trutta","larvae",1,1,0,0,0,0,0
"64","Salmo trutta","juv./adults",0,1,0,1,0,0,0
"65","Salmo trutta","adults",0,1,0,1,0,0,0
"66","Salvelinus alpinus","juv./adults",0,1,0,1,0,0,0
"67","Salvelinus fontinalis","recruits/juv.",0,1,0,0,0,0,0
"68","Salvelinus fontinalis","larvae",0,1,0,0,0,0,0
"69","Salvelinus fontinalis","juv./adults",1,1,0,0,0,0,0
"70","Salvelinus namaycush","juv./adults",0,0,0,1,0,0,0
"71","Sander lucioperca","recruits/juv.",1,0,0,1,0,0,0
"72","Sander lucioperca","larvae",0,1,0,1,0,0,0
"73","Sander lucioperca","juv./adults",0,1,0,1,0,0,0
"74","Scardinius erythrophthalmus","juv./adults",0,0,1,0,1,0,0
"75","Silurus glanis","juv./adults",0,0,0,1,0,0,0
"76","Squalius cephalus","juv./adults",0,1,0,1,0,1,0
"77","Thymallus thymallus","recruits/juv.",0,1,0,0,0,0,0
"78","Tinca tinca","juv./adults",0,1,0,1,0,0,0
"79","Tinca tinca","adults",0,1,0,0,0,0,0
