species,stage,length_min,length_max,crustacean,insect,worm,zooplankton,detritus,macrophyte,mollusk,fish,biofilm,phytoplankton,echinoderm
Abramis brama,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Abramis brama,juvenile,2.000002,9.000001,1,1,1,1,0,0,0,0,0,0,0
Abramis brama,adult,9.000001999999999,Inf,1,1,1,1,1,1,1,1,0,0,0
Agonus cataphractus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Agonus cataphractus,adult,2.000002,Inf,1,0,1,0,0,0,0,0,0,0,0
Alburnus alburnus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Alburnus alburnus,adult,2.000002,Inf,1,1,0,1,1,0,0,0,1,1,0
Alosa alosa,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Alosa alosa,juvenile,2.000002,42.550000237060544,0,1,0,1,0,0,0,0,0,0,0
Alosa alosa,adult,42.55000123706054,Inf,1,0,0,1,0,0,0,1,0,0,0
Alosa fallax,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Alosa fallax,juvenile,2.000002,10.000001,0,0,0,1,0,0,0,0,0,0,0
Alosa fallax,adult,10.000001999999999,Inf,1,1,1,1,1,0,1,1,0,0,0
Ameiurus melas,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Ameiurus melas,juvenile,2.000002,13.000001,1,1,1,0,0,0,0,0,0,0,0
Ameiurus melas,adult,13.000001999999999,Inf,0,0,0,0,0,0,1,1,0,0,0
Ammodytes tobianus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Ammodytes tobianus,adult,2.000002,Inf,0,0,0,1,0,0,0,0,0,1,0
Anguilla anguilla,larvae,0,2.000001,0,0,0,1,0,0,0,1,0,1,0
Anguilla anguilla,juvenile,2.000002,38.000001,1,0,0,0,0,0,0,1,0,0,0
Anguilla anguilla,adult,38.000001999999995,Inf,1,1,1,1,0,0,1,1,0,0,0
Aphia minuta,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Aphia minuta,adult,2.000002,Inf,1,0,0,1,0,0,0,0,0,0,0
Argyrosomus regius,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Argyrosomus regius,adult,2.000002,Inf,1,0,0,0,0,0,0,1,0,0,0
Arnoglossus laterna,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Arnoglossus laterna,adult,2.000002,Inf,1,0,1,0,0,0,0,1,0,0,1
Arnoglossus thori,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Arnoglossus thori,adult,2.000002,Inf,1,0,0,0,0,0,0,1,0,0,0
Atherina presbyter,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Atherina presbyter,adult,2.000002,Inf,0,0,0,1,0,0,0,0,0,0,0
Barbatula barbatula,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Barbatula barbatula,adult,2.000002,Inf,1,1,1,1,0,0,1,0,0,0,0
Barbus barbus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Barbus barbus,adult,2.000002,Inf,1,1,0,0,0,0,1,0,1,0,0
Blennius ocellaris,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Blennius ocellaris,adult,2.000002,Inf,1,0,0,0,0,0,1,0,0,0,1
Blicca bjoerkna,larvae,0,2.000001,0,1,1,1,0,0,0,0,0,0,0
Blicca bjoerkna,juvenile,2.000002,18.000001,0,1,0,1,0,1,0,0,0,0,0
Blicca bjoerkna,adult,18.000002000000002,Inf,1,1,1,1,1,0,1,0,0,0,0
Buglossidium luteum,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Buglossidium luteum,adult,2.000002,Inf,1,0,1,0,0,0,1,0,0,0,0
Callionymus lyra,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Callionymus lyra,adult,2.000002,Inf,1,0,1,0,0,0,0,0,0,0,0
Chelidonichthys cuculus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Chelidonichthys cuculus,adult,2.000002,Inf,1,0,0,1,0,0,1,1,0,0,0
Chelidonichthys lastoviza,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Chelidonichthys lastoviza,adult,2.000002,Inf,1,0,0,1,0,0,0,0,0,0,0
Chelidonichthys lucerna,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
