species,stage,length_min,length_max,crustacean,insect,worm,zooplankton,detritus,macrophyte,mollusk,fish,biofilm,phytoplankton,echinoderm,Validated?,Reference_ID,Confidence,Notes,,,
Abramis brama,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Abramis brama,juvenile,2.000002,9.000001,1,1,1,1,0,0,0,0,0,0,0,,,,,,,
Abramis brama,adult,9.000002,,1,1,1,1,1,1,1,1,0,0,0,,,,,,,
Agonus cataphractus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,LH,Medium,,,,
Agonus cataphractus,juvenile,2,9,1,0,0,0,0,0,0,0,0,0,0,Revised,hooknose1,Medium,,,,
Agonus cataphractus,adult,9,,1,0,1,0,0,0,0,0,0,0,0,Revised,hooknose1,Medium,,,,
Alburnus alburnus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Alburnus alburnus,adult,2.000002,,1,1,0,1,1,0,0,0,1,1,0,,,,,,,
Alosa alosa,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,LH,Medium,,,,
Alosa alosa,juvenile,2.000002,33,0,1,0,1,0,0,0,0,0,0,0,Revised,ALOSA1,Medium,,,,
Alosa alosa,adult,33,,1,0,0,1,0,0,0,1,0,0,0,Revised,ALOSA1,Medium,,,,
Alosa fallax,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,LH,Medium,,,,
Alosa fallax,juvenile,2.000002,22,1,0,0,1,0,0,0,0,0,0,0,Revised,ALOSA1,Medium,,,,
Alosa fallax,adult,22,,1,0,0,0,0,0,0,1,0,0,0,Revised,ALOSA1,Medium,,,,
Ameiurus melas,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,LH,Medium,,,,
Ameiurus melas,juvenile,2.000002,13.000001,1,1,1,0,0,0,0,0,0,0,0,Revised,BULLHEAD1,Medium,,,,
Ameiurus melas,adult,13.000002,,0,0,0,0,0,1,1,1,0,0,0,Revised,BULLHEAD1,Medium,,,,
Ammodytes tobianus,larvae,0,2.300001,0,0,0,1,0,0,0,0,0,0,0,Revised,SANDEEL1,Medium,,,,
Ammodytes tobianus,juvenile,2.3,13,1,1,1,1,0,0,1,0,0,0,0,Revised,SANDEEL1,Medium,"Mysid and copepods, fish eggs, polychaete, bivalves",,,
Ammodytes tobianus,adult,13,,1,1,1,1,0,0,1,0,0,0,0,Revised,SANDEEL1,Medium,Anik has expertise on this one (cf PhD comitee Flora Laugier),,,
Anguilla anguilla,larvae,0,2.000001,0,0,0,1,0,0,0,1,0,1,0,Confirmed,,,,,,
Anguilla anguilla,juvenile,2.000002,38.000001,1,0,0,0,0,0,0,1,0,0,0,Confirmed,,,,,,
Anguilla anguilla,adult,38.000002,,1,1,1,1,0,0,1,1,0,0,0,Confirmed,,,,,,
Aphia minuta,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,MES08,Medium,,,,
Aphia minuta,adult,2.000002,,0,0,0,1,0,0,0,0,0,0,0,Revised,MES08,Medium,Set crustacean to 0 because larvae.,,,
Argyrosomus regius,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,LH,Medium,Added a life stage.,,,
Argyrosomus regius,juvenile,2.000002,20,1,0,0,1,0,0,0,0,0,0,0,Revised,CAB01,Medium,Fish only adults.,,,
Argyrosomus regius,adult,20.00001,,1,0,0,0,0,0,0,1,0,0,0,Revised,CAB01,Medium,,,,
Arnoglossus laterna,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,LH,Medium,,,,
Arnoglossus laterna,juvenile,2,7,1,0,1,0,0,0,1,0,0,0,0,Revised,SCALDFISH1,Medium,No fish in stomach of juv,,,
Arnoglossus laterna,adult,7,,1,0,1,0,0,0,0,1,0,0,1,Revised,SCALDFISH1,Medium,,,,
Arnoglossus thori,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,LH,Medium,,,,
Arnoglossus thori,juvenile,2,8,1,0,1,0,0,0,1,0,0,0,0,Revised,FLATFISH1,Medium,Same diet than A. lanterna,,,
Arnoglossus thori,adult,8,,1,0,1,0,0,0,0,1,0,0,1,Revised,FLATFISH1,Medium,Same diet than A. lanterna,,,
Atherina presbyter,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,SAN86,Medium,,,,
