"species","light","detritus","biofilm","macrophyte","phytoplankton","zooplankton","worm","mollusk","crustacean","insect","echinoderm","fish","reference"
"detritus",0,0,0,0,0,0,0,0,0,0,0,0,NA
"biofilm",1,0,0,0,0,0,0,0,0,0,0,0,NA
"macrophyte",1,0,0,0,0,0,0,0,0,0,0,0,NA
"phytoplankton",1,0,0,0,0,0,0,0,0,0,0,0,NA
"zooplankton",0,0,0,0,1,1,0,0,0,0,0,0,NA
"worm",0,1,1,1,1,1,1,1,1,0,0,0,10.1186/s10152-016-0469-4
"mollusk",0,1,0,1,1,1,0,0,0,0,0,0,NA
"insect",0,1,0,0,1,0,0,0,0,0,0,0,NA
"crustacean",0,1,0,1,0,0,1,0,0,0,0,0,NA
"echinoderm",0,1,1,1,1,1,0,0,0,0,0,0,NA
"fish",0,1,1,1,1,1,1,1,1,1,1,1,NA
