"","species","stage","biofilm","crustacean","detritus","fish","insect","macrophyte","mollusk","phytoplankton","worm","zooplankton"
"1","Abramis brama","recruits/juv.",0,1,0,0,1,0,0,0,1,1
"2","Abramis brama","juv./adults",0,1,1,0,1,1,1,0,1,1
"3","Abramis brama","adults",0,1,1,1,1,0,0,0,1,1
"4","Acipenser ruthenus","juv./adults",0,0,0,0,1,0,0,0,0,1
"5","Alburnoides bipunctatus","juv./adults",0,1,0,0,1,0,0,1,0,0
"6","Alburnus alburnus","juv./adults",1,1,1,0,1,0,0,1,0,1
"7","Ameiurus melas","recruits/juv.",0,1,0,0,1,0,0,0,1,0
"8","Ameiurus melas","juv./adults",0,0,0,1,0,0,1,0,0,0
"9","Ameiurus melas","adults",0,0,0,0,0,0,1,0,0,0
"10","Anguilla anguilla","recruits/juv.",0,1,0,1,0,0,0,0,0,0
"11","Anguilla anguilla","larvae",0,0,0,1,0,0,0,1,0,1
"12","Anguilla anguilla","juv./adults",0,1,0,1,1,0,1,0,1,1
"13","Barbatula barbatula","juv./adults",0,1,0,0,1,0,1,0,1,1
"14","Barbus barbus","juv./adults",1,1,0,0,1,0,1,0,0,0
"15","Barbus meridionalis","juv./adults",1,0,0,0,1,0,1,0,0,0
"16","Blicca bjoerkna","recruits/juv.",0,0,0,0,1,1,0,0,0,1
"17","Blicca bjoerkna","larvae",0,0,0,0,1,0,0,0,1,1
"18","Blicca bjoerkna","juv./adults",0,1,1,0,1,0,1,0,1,1
"19","Carassius auratus","recruits/juv.",0,0,0,0,1,0,0,0,0,0
"20","Carassius auratus","juv./adults",0,1,0,0,1,0,1,0,1,1
"21","Carassius auratus","adults",1,0,1,0,0,1,0,0,0,0
"22","Carassius carassius","recruits/juv.",0,1,0,0,1,0,0,0,0,1
"23","Carassius carassius","juv./adults",0,0,0,0,1,0,0,0,0,1
"24","Carassius carassius","adults",0,0,0,0,1,0,0,0,0,0
"25","Carassius gibelio",NA,0,0,0,0,0,0,0,0,0,0
"26","Chelon auratus","recruits/juv.",0,1,0,0,1,0,0,1,1,1
"27","Chelon auratus","juv./adults",0,1,1,0,1,0,1,1,0,1
"28","Chelon ramada","recruits/juv.",0,1,0,0,1,0,0,0,1,1
"29","Chelon ramada","juv./adults",1,1,1,0,1,0,0,1,0,1
"30","Chelon ramada","adults",0,1,0,0,0,0,1,0,0,0
"31","Chondrostoma nasus","juv./adults",1,0,1,0,0,0,0,1,0,0
"32","Cobitis taenia",NA,0,0,0,0,0,0,0,0,0,0
"33","Coregonus lavaretus","larvae",0,0,0,0,1,0,0,0,0,1
"34","Coregonus lavaretus","juv./adults",0,1,1,0,1,0,0,0,0,1
"35","Cottus gobio","juv./adults",1,1,1,1,1,0,0,0,1,1
"36","Cottus petiti",NA,0,0,0,0,0,0,0,0,0,0
"37","Cyprinus carpio","juv./adults",1,1,1,1,1,1,1,0,1,1
"38","Cyprinus carpio","adults",1,0,0,0,0,0,0,0,0,0
"39","Esox lucius","recruits/juv.",0,0,0,0,0,0,0,0,0,1
"40","Esox lucius","larvae",0,0,0,0,1,0,0,0,0,1
"41","Esox lucius","juv./adults",0,0,0,1,1,0,0,0,0,1
"42","Esox lucius","adults",0,1,0,1,1,0,0,0,1,0
"43","Gambusia affinis","juv./adults",0,0,1,1,1,0,0,0,0,1
"44","Gasterosteus aculeatus","juv./adults",1,1,0,1,1,0,1,1,1,1
"45","Gasterosteus aculeatus","adults",0,1,0,1,1,0,0,0,0,1
"46","Gobio gobio","juv./adults",1,1,0,0,1,0,1,0,1,0
